Papel,Cotação,EV/EBIT,ROIC,Liq.2meses,ranking_ev_ebit,ranking_roic,ranking_total
PSSA3,30.21,0.28,84.27,42799100.0,1.0,1.0,2.0
WIZC3,5.88,1.61,27.47,2015800.0,2.0,9.0,11.0
PLPL3,11.3,3.98,40.24,10139100.0,11.0,2.0,13.0
CMIN3,5.0,4.29,32.77,48255500.0,14.0,5.0,19.0
PETR4,37.64,3.21,23.3,1186190000.0,6.0,15.5,21.5
PETR3,40.85,3.4,23.3,394026000.0,7.0,15.5,22.5
VLID3,16.95,3.46,21.82,6361730.0,8.0,18.0,26.0
VALE3,61.47,3.96,19.72,1160230000.0,10.0,22.0,32.0
LREN3,13.33,4.16,18.65,190654000.0,13.0,25.0,38.0
LEVE3,33.1,6.14,35.32,11323200.0,36.0,3.0,39.0
ASAI3,9.84,5.1,17.69,141595000.0,21.5,27.0,48.5
KEPL3,10.57,6.36,27.98,9297760.0,42.0,8.0,50.0
CPFE3,32.8,5.27,17.07,49623200.0,25.0,28.0,53.0
SAPR11,26.77,4.63,15.44,22976700.0,17.0,40.5,57.5
SAPR4,5.41,4.66,15.44,5648130.0,18.0,40.5,58.5
PRIO3,47.5,6.93,27.31,357643000.0,49.0,10.0,59.0
MILS3,11.3,6.54,22.82,11266700.0,43.0,17.0,60.0
QUAL3,1.57,3.63,14.52,6695260.0,9.0,51.0,60.0
GOLL4,1.16,5.31,15.92,9771830.0,26.0,36.0,62.0
TGMA3,24.82,7.02,24.56,5213590.0,51.0,13.0,64.0
BEEF3,6.32,6.16,16.23,40716200.0,37.0,32.0,69.0
UGPA3,22.9,6.71,18.99,93283500.0,47.0,23.0,70.0
GOAU4,10.62,1.99,12.21,61373800.0,4.0,68.0,72.0
CMIG4,10.78,5.16,14.64,123431000.0,24.0,48.5,72.5
VBBR3,23.24,6.55,16.57,144801000.0,44.0,31.0,75.0
POSI3,7.0,4.43,12.36,9735300.0,16.0,61.0,77.0
CURY3,21.58,8.23,32.1,33095700.0,71.0,6.0,77.0
RAPT4,10.98,5.14,13.64,24557200.0,23.0,55.0,78.0
VULC3,15.56,7.71,24.19,9343630.0,64.0,14.0,78.0
ECOR3,7.07,5.97,14.71,27952900.0,32.0,47.0,79.0
FIQE3,3.41,5.49,13.72,1734200.0,28.0,54.0,82.0
CMIG3,12.9,5.98,14.64,2100530.0,33.5,48.5,82.0
CSMG3,21.81,6.23,14.89,27683600.0,39.5,45.0,84.5
GGBR4,18.32,5.5,12.25,177938000.0,29.0,66.0,95.0
AURA33,18.1,8.1,17.77,5490350.0,69.0,26.0,95.0
TECN3,5.29,5.52,12.22,2474900.0,30.0,67.0,97.0
CSED3,4.04,4.32,10.54,2283950.0,15.0,84.0,99.0
POMO3,4.96,7.55,15.39,1347960.0,60.0,42.5,102.5
ODPV3,11.54,9.93,33.34,11205300.0,101.0,4.0,105.0
MDIA3,27.83,7.14,14.47,23444500.0,53.0,52.0,105.0
FRAS3,19.34,9.18,21.6,6378510.0,85.0,20.0,105.0
CIEL3,5.76,8.02,15.63,135492000.0,67.0,38.0,105.0
SOJA3,15.27,8.24,16.0,6979820.0,72.0,35.0,107.0
UNIP6,50.25,8.41,16.08,8237100.0,74.0,33.0,107.0
RANI3,8.73,7.67,14.73,6192940.0,63.0,46.0,109.0
ENGI11,44.5,6.19,11.84,123276000.0,38.0,72.5,110.5
HBRE3,5.56,4.0,9.48,2152270.0,12.0,99.0,111.0
CEAB3,8.53,4.88,9.82,27826000.0,19.0,93.0,112.0
TOTS3,28.13,10.02,26.07,95307200.0,102.0,12.0,114.0
TUPY3,25.13,6.63,12.09,13543400.0,46.0,69.0,115.0
BMOB3,14.37,7.31,12.27,4636990.0,54.5,64.0,118.5
GPIV33,3.74,1.87,7.93,1147100.0,3.0,122.0,125.0
PCAR3,2.86,2.52,7.95,41029600.0,5.0,121.0,126.0
ANIM3,3.49,6.23,10.15,20058300.0,39.5,90.0,129.5
POMO4,6.32,9.26,15.39,37055300.0,88.0,42.5,130.5
SHUL4,6.3,9.25,15.18,2339930.0,87.0,44.0,131.0
ARML3,9.63,9.84,16.06,7314050.0,98.0,34.0,132.0
LAVV3,8.99,7.51,11.69,5966960.0,59.0,75.0,134.0
SEER3,5.31,5.08,8.12,3230800.0,20.0,118.0,138.0
DESK3,16.15,8.06,11.91,4840110.0,68.0,71.0,139.0
ABEV3,11.88,10.49,16.9,329810000.0,110.0,29.0,139.0
VAMO3,8.94,8.84,12.45,55576900.0,81.0,59.0,140.0
SLCE3,18.32,7.77,11.33,40842500.0,65.0,79.0,144.0
TFCO4,11.38,12.37,27.02,2263350.0,133.0,11.0,144.0
TIMS3,16.28,7.61,10.98,109314000.0,61.5,83.0,144.5
TRPL4,24.68,6.98,9.79,96171600.0,50.0,95.0,145.0
OPCT3,6.6,8.9,12.27,3132040.0,82.0,64.0,146.0
BRBI11,14.2,11.59,20.39,3858470.0,127.0,21.0,148.0
AERI3,5.98,5.54,8.16,1517350.0,31.0,117.0,148.0
NEOE3,18.17,7.12,9.69,17816200.0,52.0,96.5,148.5
B3SA3,10.95,11.17,16.68,403815000.0,120.0,30.0,150.0
EQTL3,32.67,8.01,10.5,254503000.0,66.0,85.0,151.0
CCRO3,12.48,8.75,11.84,86336200.0,79.0,72.5,151.5
PRNR3,10.7,8.72,11.62,3023380.0,78.0,76.0,154.0
STBP3,13.81,12.83,21.75,62637000.0,137.0,19.0,156.0
EGIE3,44.55,9.89,13.51,53825600.0,99.0,57.0,156.0
MATD3,4.91,6.78,8.81,3455750.0,48.0,109.0,157.0
AZUL4,8.25,10.91,15.5,113347000.0,119.0,39.0,158.0
PFRM3,5.78,6.03,7.55,1018780.0,35.0,125.0,160.0
RECV3,21.04,9.37,11.35,44115700.0,89.0,78.0,167.0
